measure_start,beat_start,measure_end,beat_end,motive,instruments
56,3.5,57,0.0,M3,Vln I
57,0.0,57,0.5,M3,Vln I
57,0.0,57,2.0,M1,Cb.
57,0.5,57,1.0,M3,Vln I
57,1.0,57,1.5,M3,Vln I
57,2.0,57,2.25,M3,Vln I
57,2.0,58,0.0,M1,Cb.
57,2.25,57,2.5,M3,Vln I
57,2.5,57,3.0,M3,Vln I
57,3.0,57,3.5,M3,Vln I
58,0.0,58,2.0,M1,Cb.
58,0.5,58,1.0,M3,Vln I
58,1.0,58,1.5,M3,Vln I
58,1.5,58,2.0,M3,Vln I
58,2.0,59,0.0,M1,Cb.
58,2.5,58,2.75,M3,Vln I
58,2.75,58,3.0,M3,Vln I
58,3.0,58,3.5,M3,Vln I
58,3.5,59,0.0,M3,Vln I
59,0.0,59,2.0,M1,Cb.
59,0.5,59,1.0,M3,Vln I
59,1.0,59,1.5,M3,Vln I
59,1.5,59,2.0,M3,Vln I
59,2.0,59,2.5,M3,Vln I
59,2.0,60,0.0,M1,Cb.
59,2.5,59,3.0,M3,Vln I
59,3.0,59,3.5,M3,Vln I
60,0.0,60,2.0,M1,Cb.
60,0.5,60,0.75,M3,Vln I
60,0.75,60,1.0,M3,Vln I
60,1.0,60,1.5,M3,Vln I
60,1.5,60,2.0,M3,Vln I
60,2.0,61,0.0,M1,Cb.
60,2.5,60,3.0,M3,Vln I
60,3.0,60,3.5,M3,Vln I
60,3.5,61,0.0,M3,Vln I
61,0.0,61,0.5,M3,Vln I
61,0.0,61,2.0,M1,Cb.
61,0.5,61,1.0,M3,Vln I
61,1.0,61,1.5,M3,Vln I
61,2.0,61,2.25,M3,Vln I
61,2.0,62,0.0,M1,Cb.
61,2.25,61,2.5,M3,Vln I
61,2.5,61,3.0,M3,Vln I
61,3.0,61,3.5,M3,Vln I
62,0.0,62,2.0,M1,Cb.
62,0.5,62,1.0,M3,Vln I
62,1.0,62,1.5,M3,Vln I
62,1.5,62,2.0,M3,Vln I
62,2.0,63,0.0,M1,Cb.
62,2.5,62,2.75,M3,Vln I
62,2.75,62,3.0,M3,Vln I
62,3.0,62,3.5,M3,Vln I
62,3.5,63,0.0,M3,Vln I
63,0.0,63,2.0,M1,Cb.
63,0.5,63,1.0,M3,Vln I
63,1.0,63,1.5,M3,Vln I
63,1.5,63,2.0,M3,Vln I
63,2.0,63,2.5,M3,Vln I
63,2.0,64,0.0,M1,Cb.
63,2.5,63,3.0,M3,Vln I
63,3.0,63,3.5,M3,Vln I
64,0.0,64,2.0,M1,Cb.
64,0.5,64,0.75,M3,Vln I
64,0.75,64,1.0,M3,Vln I
64,1.0,64,1.5,M3,Vln I
64,1.5,64,2.0,M3,Vln I
64,2.0,65,0.0,M1,Cb.
64,2.5,64,3.0,M3,Vln I
64,3.0,64,3.5,M3,Vln I
64,3.5,65,0.0,M3,Vln I
65,0.0,65,0.5,M3,Vln I
65,0.0,65,2.0,M1,Cb.
65,0.5,65,1.0,M3,Vln I
65,1.0,65,1.5,M3,Vln I
65,2.0,65,2.25,M3,Vln I
65,2.0,66,0.0,M1,Cb.
65,2.25,65,2.5,M3,Vln I
65,2.5,65,3.0,M3,Vln I
65,3.0,65,3.5,M3,Vln I
66,0.0,66,2.0,M1,Cb.
66,0.5,66,1.0,M3,Vln I
66,1.0,66,1.5,M3,Vln I
66,1.5,66,2.0,M3,Vln I
66,2.0,67,0.0,M1,Cb.
66,2.5,66,2.75,M3,Vln I
66,2.75,66,3.0,M3,Vln I
66,3.0,66,3.5,M3,Vln I
66,3.5,67,0.0,M3,Vln I
67,0.0,67,2.0,M1,Cb.
67,0.5,67,1.0,M3,Vln I
67,1.0,67,1.5,M3,Vln I
67,1.5,67,2.0,M3,Vln I
67,2.0,67,2.5,M3,Vln I
67,2.0,68,0.0,M1,Cb.
67,2.5,67,3.0,M3,Vln I
67,3.0,67,3.5,M3,Vln I
68,0.0,68,2.0,M1,Cb.
68,0.5,68,0.75,M3,Vln I
68,0.75,68,1.0,M3,Vln I
68,1.0,68,1.5,M3,Vln I
68,1.5,68,2.0,M3,Vln I
68,2.0,69,0.0,M1,Cb.
68,2.5,68,3.0,M3,Vln I
68,3.0,68,3.5,M3,Vln I
68,3.5,69,0.0,M3,Vln I
69,0.0,69,0.5,M3,Vln I
69,0.0,69,2.0,M1,Cb.
69,0.5,69,1.0,M3,Vln I
69,1.0,69,1.5,M3,Vln I
69,2.0,69,2.25,M3,Vln I
69,2.0,70,0.0,M1,Cb.
69,2.25,69,2.5,M3,Vln I
69,2.5,69,3.0,M3,Vln I
69,3.0,69,3.5,M3,Vln I
70,0.5,70,0.75,M3,Solo Vc.
70,0.5,73,0.0,M5,"Sop Sax, Ob., Cl. 2"
70,0.75,70,1.0,M3,Solo Vc.
70,1.0,70,1.75,M3,Solo Vc.
70,1.75,70,2.0,M3,Solo Vc.
70,2.0,70,2.25,M3,Solo Vc.
70,2.25,70,2.5,M3,Solo Vc.
70,2.5,70,2.75,M3,Solo Vc.
70,2.75,70,3.0,M3,Solo Vc.
71,0.0,72,0.0,M6,Vib.
71,0.0,75,0.0,M4,
71,0.0,78,0.0,M2,"Solo Vln, Solo Vc."
72,0.0,73,0.0,M6,Vib.
73,0.0,74,0.0,M6,Vib.
